index,Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
146,12528,9,6,1933.48,5,5,4,14,Champions
147,12530,60,4,1662.28,3,4,4,11,Loyal Customers
148,12531,15,1,125.22,4,1,1,6,Others
149,12532,30,1,349.83,4,1,2,7,Others
150,12534,131,1,1089.18,2,1,4,7,Big Spenders
151,12535,92,2,716.35,2,2,3,7,Others
152,12536,43,3,12601.83,3,3,5,11,Big Spenders
153,12538,29,1,363.95,4,1,2,7,Others
154,12539,22,4,5568.35,4,4,5,13,Champions
155,12540,20,17,13400.24,4,5,5,14,Champions
156,12541,30,3,981.18,4,3,4,11,Big Spenders
157,12544,36,1,372.7,3,1,2,6,Others
158,12545,75,2,1000.39,2,2,4,8,Big Spenders
159,12546,47,2,1161.5,3,2,4,9,Big Spenders
160,12547,198,2,207.8,1,2,1,4,Churned
161,12548,166,1,95.2,2,1,1,4,Churned
162,12550,79,1,964.83,2,1,4,7,Big Spenders
163,12551,358,1,168.0,1,1,1,3,Churned
164,12552,39,2,437.82,3,2,2,7,Others
165,12553,8,10,3692.28,5,5,5,15,Champions
166,12556,50,2,603.71,3,2,3,8,Others
167,12557,16,5,11990.96,4,4,5,13,Champions
168,12558,8,1,269.96,5,1,2,8,Others
169,12559,311,2,561.71,1,2,3,6,Others
170,12560,5,3,2134.01,5,3,5,13,Big Spenders
171,12561,303,1,238.85,1,1,1,3,Churned
172,12562,8,7,3781.74,5,5,5,15,Champions
173,12564,261,1,456.9,1,1,2,4,Churned
174,12565,289,1,145.92,1,1,1,3,Churned
175,12566,86,1,351.65,2,1,2,5,Churned
176,12567,23,10,9401.28,4,5,5,14,Champions
177,12569,2,32,4124.69,5,5,5,15,Champions
178,12571,40,2,519.61,3,2,3,8,Others
179,12572,9,2,1020.42,5,2,4,11,Big Spenders
180,12573,227,1,160.54,1,1,1,3,Churned
181,12574,316,1,218.45,1,1,1,3,Churned
182,12576,36,5,1315.83,3,4,4,11,Loyal Customers
183,12577,35,3,657.8,3,3,3,9,Others
184,12578,21,2,2794.51,4,2,5,11,Big Spenders
185,12579,78,1,440.42,2,1,2,5,Churned
186,12580,247,1,415.7,1,1,2,4,Churned
187,12581,40,1,197.71,3,1,1,5,Others
188,12582,239,2,511.36,1,2,3,6,Others
189,12583,3,15,7281.38,5,5,5,15,Champions
190,12584,4,9,2338.15,5,5,5,15,Champions
191,12585,234,2,2040.1,1,2,4,7,Big Spenders
192,12586,17,1,196.94,4,1,1,6,Others
193,12587,8,1,144.0,5,1,1,7,Others
194,12588,39,1,214.9,3,1,1,5,Others
195,12589,29,2,646.68,4,2,3,9,Potential Loyalists
196,12590,211,2,9864.26,1,2,5,8,Big Spenders
197,12591,317,1,452.85,1,1,2,4,Churned
198,12592,92,2,437.6,2,2,2,6,Churned
199,12593,109,3,418.1,2,3,2,7,At Risk
200,12594,38,10,3338.22,3,5,5,13,Loyal Customers
201,12596,51,2,618.27,3,2,3,8,Others
202,12597,19,4,3811.22,4,4,5,13,Champions
203,12598,10,8,3023.08,5,5,5,15,Champions
204,12599,29,7,1032.58,4,5,4,13,Champions
205,12600,29,10,2599.04,4,5,5,14,Champions
206,12601,190,5,577.06,1,4,3,8,Loyal Customers
207,12602,59,1,153.12,3,1,1,5,Others
208,12603,22,1,739.2,4,1,3,8,Others
209,12604,79,2,254.18,2,2,2,6,Churned
210,12607,60,1,1579.51,3,1,4,8,Big Spenders
211,12609,78,3,1126.85,2,3,4,9,Big Spenders
212,12610,23,5,2099.54,4,4,5,13,Champions
213,12611,52,1,1193.32,3,1,4,8,Big Spenders
214,12612,74,1,704.04,2,1,3,6,Others
215,12613,57,5,3344.38,3,4,5,12,Loyal Customers
216,12614,278,1,315.6,1,1,2,4,Churned
217,12615,2,4,2291.19,5,4,5,14,Champions
218,12616,95,2,713.3,2,2,3,7,Others
219,12617,29,1,355.53,4,1,2,7,Others
220,12618,22,1,177.31,4,1,1,6,Others
221,12619,16,9,3641.24,4,5,5,14,Champions
222,12620,15,3,1339.41,4,3,4,11,Big Spenders
223,12621,2,20,13689.67,5,5,5,15,Champions
224,12622,232,1,180.1,1,1,1,3,Churned
225,12623,276,1,305.1,1,1,2,4,Churned
226,12624,106,2,641.13,2,2,3,7,Others
227,12625,212,2,2683.82,1,2,5,8,Big Spenders
228,12626,23,9,6620.48,4,5,5,14,Champions
229,12627,11,7,4478.53,5,5,5,15,Champions
230,12628,4,3,786.46,5,3,3,11,Potential Loyalists
231,12630,10,2,1270.88,5,2,4,11,Big Spenders
232,12631,57,1,640.5,3,1,3,7,Others
233,12633,59,4,2163.98,3,4,5,12,Loyal Customers
234,12635,90,2,1689.18,2,2,4,8,Big Spenders
235,12637,67,8,6021.9,3,5,5,13,Loyal Customers
236,12638,33,1,671.69,4,1,3,8,Others
237,12639,239,1,486.1,1,1,2,4,Churned
238,12640,24,3,1174.58,4,3,4,11,Big Spenders
239,12641,115,1,185.9,2,1,1,4,Churned
240,12642,25,3,1013.26,4,3,4,11,Big Spenders
241,12643,128,6,3344.64,2,5,5,12,Loyal Customers
242,12644,130,1,477.91,2,1,2,5,Churned
243,12645,34,4,1775.18,3,4,4,11,Loyal Customers
244,12646,5,2,1346.97,5,2,4,11,Big Spenders
245,12647,22,12,3722.82,4,5,5,14,Champions
246,12648,155,1,318.05,2,1,2,5,Churned
247,12649,107,3,623.51,2,3,3,8,At Risk
248,12650,3,1,314.44,5,1,2,8,Others
249,12651,335,1,114.0,1,1,1,3,Churned
250,12652,331,1,919.98,1,1,3,5,Others
251,12653,149,2,2209.85,2,2,5,9,Big Spenders
252,12654,11,5,601.98,5,4,3,12,Loyal Customers
253,12656,17,5,4051.17,4,4,5,13,Champions
254,12657,11,4,1643.18,5,4,4,13,Champions
255,12658,19,1,686.05,4,1,3,8,Others
256,12659,30,1,91.68,4,1,1,6,Others
257,12660,11,1,245.1,5,1,1,7,Others
258,12662,1,11,3849.78,5,5,5,15,Champions
259,12664,8,9,4881.88,5,5,5,15,Champions
260,12665,325,1,63.0,1,1,1,3,Churned
261,12667,58,1,620.13,3,1,3,7,Others
262,12668,12,4,3807.15,5,4,5,14,Champions
263,12669,151,3,2744.03,2,3,5,10,Big Spenders
264,12670,10,5,2996.05,5,4,5,14,Champions
265,12672,330,1,225.9,1,1,1,3,Churned
266,12673,5,2,610.52,5,2,3,10,Potential Loyalists
267,12674,39,4,1970.6,3,4,4,11,Loyal Customers
268,12676,25,6,1331.39,4,5,4,13,Champions
269,12678,42,12,17628.46,3,5,5,13,Loyal Customers
270,12679,59,4,1113.02,3,4,4,11,Loyal Customers
271,12680,1,4,880.81,5,4,3,12,Loyal Customers
272,12681,15,22,13787.54,4,5,5,14,Champions
273,12682,4,31,12288.22,5,5,5,15,Champions
274,12683,4,15,8476.57,5,5,5,15,Champions
275,12684,8,7,2283.63,5,5,5,15,Champions
276,12685,28,6,2863.08,4,5,5,14,Champions
277,12686,372,1,89.14,1,1,1,3,Churned
278,12688,114,1,4873.81,2,1,5,8,Big Spenders
279,12689,26,2,1247.61,4,2,4,10,Big Spenders
280,12690,206,1,389.01,1,1,2,4,Churned
281,12691,28,6,1035.8,4,5,4,13,Champions
282,12693,127,4,855.91,2,4,3,9,Loyal Customers
283,12694,70,2,869.67,3,2,3,8,Others
284,12695,7,4,582.1,5,4,3,12,Loyal Customers
285,12697,29,3,957.59,4,3,4,11,Big Spenders
286,12700,8,4,4939.99,5,4,5,14,Champions
287,12701,80,2,797.71,2,2,3,7,Others
288,12702,20,1,219.0,4,1,1,6,Others
289,12703,71,1,283.55,3,1,2,6,Others
290,12704,7,8,2340.84,5,5,5,15,Champions
291,12705,15,9,6868.29,4,5,5,14,Champions
292,12707,292,1,603.42,1,1,3,5,Others
293,12708,30,10,2712.91,4,5,5,14,Champions
294,12709,15,15,9736.52,4,5,5,14,Champions
295,12710,97,3,1149.02,2,3,4,9,Big Spenders
296,12712,29,13,4396.13,4,5,5,14,Champions
297,12713,1,1,848.55,5,1,3,9,Others
298,12714,9,5,4708.86,5,4,5,14,Champions
299,12715,106,1,353.86,2,1,2,5,Churned
300,12716,4,2,1053.49,5,2,4,11,Big Spenders
301,12717,151,2,1030.98,2,2,4,8,Big Spenders
302,12718,71,1,238.25,3,1,1,5,Others
303,12719,5,2,644.95,5,2,3,10,Potential Loyalists
304,12720,3,25,5781.73,5,5,5,15,Champions
305,12721,32,6,2656.13,4,5,5,14,Champions
306,12722,85,4,997.63,2,4,4,10,Loyal Customers
307,12723,4,5,725.07,5,4,3,12,Loyal Customers
308,12724,5,4,1031.41,5,4,4,13,Champions
309,12725,371,1,427.8,1,1,2,4,Churned
310,12726,28,7,2609.1,4,5,5,14,Champions
311,12727,11,7,3980.7,5,5,5,15,Champions
312,12728,71,4,836.33,3,4,3,10,Loyal Customers
313,12729,114,1,453.01,2,1,2,5,Churned
314,12731,24,12,18895.91,4,5,5,14,Champions
315,12732,180,1,236.26,1,1,1,3,Churned
316,12733,234,1,383.95,1,1,2,4,Churned
317,12734,353,1,110.4,1,1,1,3,Churned
318,12735,315,2,779.57,1,2,3,6,Others
319,12736,333,1,234.0,1,1,1,3,Churned
320,12738,372,1,155.35,1,1,1,3,Churned
321,12739,78,2,1013.04,2,2,4,8,Big Spenders
322,12740,64,1,427.6,3,1,2,6,Others
323,12743,134,2,546.43,2,2,3,7,Others
324,12744,52,7,21279.29,3,5,5,13,Loyal Customers
325,12747,2,11,4196.01,5,5,5,15,Champions
326,12748,1,209,33719.73,5,5,5,15,Champions
327,12749,4,5,4090.88,5,4,5,14,Champions
328,12750,129,1,275.88,2,1,2,5,Churned
329,12752,81,1,4366.78,2,1,5,8,Big Spenders
330,12753,23,6,21429.39,4,5,5,14,Champions
331,12754,236,3,3010.74,1,3,5,9,Big Spenders
332,12755,281,2,3811.95,1,2,5,8,Big Spenders
333,12756,87,1,112.08,2,1,1,4,Churned
334,12757,16,13,7857.1,4,5,5,14,Champions
335,12758,117,2,2791.59,2,2,5,9,Big Spenders
336,12759,52,3,1531.44,3,3,4,10,Big Spenders
337,12762,8,2,1898.52,5,2,4,11,Big Spenders
338,12763,138,2,494.08,2,2,3,7,Others
339,12764,317,1,1693.88,1,1,4,6,Big Spenders
340,12766,4,7,6989.63,5,5,5,15,Champions
341,12769,239,1,1143.6,1,1,4,6,Big Spenders
342,12770,211,1,1351.45,1,1,4,6,Big Spenders
343,12772,60,1,892.47,3,1,3,7,Others
344,12775,17,5,1386.04,4,4,4,12,Champions
345,12778,20,6,822.23,4,5,3,12,Loyal Customers
346,12779,38,8,3981.36,3,5,5,13,Loyal Customers
347,12781,64,2,826.74,3,2,3,8,Others
348,12782,5,5,2330.92,5,4,5,14,Champions
349,12783,2,6,2225.91,5,5,5,15,Champions
350,12784,9,2,574.42,5,2,3,10,Potential Loyalists
351,12785,364,1,311.95,1,1,2,4,Churned
352,12787,10,3,463.66,5,3,2,10,Potential Loyalists
353,12789,65,1,91.85,3,1,1,5,Others
354,12790,192,1,324.92,1,1,2,4,Churned
355,12791,374,1,192.6,1,1,1,3,Churned
356,12792,257,1,400.54,1,1,2,4,Churned
357,12793,335,2,545.48,1,2,3,6,Others
358,12794,53,2,860.41,3,2,3,8,Others
359,12795,19,1,430.48,4,1,2,7,Others
360,12797,366,1,254.03,1,1,2,4,Churned
361,12798,10,3,6977.04,5,3,5,13,Big Spenders
362,12802,187,1,427.58,1,1,2,4,Churned
363,12808,37,3,483.65,3,3,2,8,Others
364,12809,178,1,489.31,2,1,2,5,Churned
365,12811,261,3,514.85,1,3,3,7,At Risk
366,12812,45,1,229.64,3,1,1,5,Others
367,12814,102,1,125.92,2,1,1,4,Churned
368,12815,148,2,1063.46,2,2,4,8,Big Spenders
369,12816,96,2,572.2,2,2,3,7,Others
370,12817,281,1,166.04,1,1,1,3,Churned
371,12818,262,1,1542.08,1,1,4,6,Big Spenders
372,12820,3,4,942.34,5,4,4,13,Champions
373,12821,214,1,92.72,1,1,1,3,Churned
374,12822,71,2,948.88,3,2,4,9,Big Spenders
375,12823,75,5,1759.5,2,4,4,10,Loyal Customers
376,12824,60,1,397.12,3,1,2,6,Others
377,12826,3,7,1474.72,5,5,4,14,Champions
378,12827,6,3,430.15,5,3,2,10,Potential Loyalists
379,12828,3,6,1018.71,5,5,4,14,Champions
380,12829,337,2,293.0,1,2,2,5,Churned
381,12830,38,6,6814.64,3,5,5,13,Loyal Customers
382,12831,262,1,215.05,1,1,1,3,Churned
383,12832,32,2,383.03,4,2,2,8,Potential Loyalists
384,12833,145,1,417.38,2,1,2,5,Churned
385,12834,283,1,312.38,1,1,2,4,Churned
386,12836,59,4,2612.86,3,4,5,12,Loyal Customers
387,12837,173,1,134.1,2,1,1,4,Churned
388,12838,34,2,683.13,3,2,3,8,Others
389,12839,3,14,5591.42,5,5,5,15,Champions
390,12840,144,4,2726.77,2,4,5,11,Loyal Customers
391,12841,5,25,4022.35,5,5,5,15,Champions
392,12842,70,2,1118.99,3,2,4,9,Big Spenders
393,12843,66,8,1702.26,3,5,4,12,Loyal Customers
394,12844,29,2,325.96,4,2,2,8,Potential Loyalists
395,12845,267,4,354.09,1,4,2,7,Loyal Customers
396,12847,22,1,871.54,4,1,3,8,Others
397,12849,31,2,1050.89,4,2,4,10,Big Spenders
398,12851,97,1,135.18,2,1,1,4,Churned
399,12852,295,1,311.55,1,1,2,4,Churned
400,12853,135,6,1957.1,2,5,4,11,Loyal Customers
401,12854,79,3,1324.5,2,3,4,9,Big Spenders
402,12855,373,1,38.1,1,1,1,3,Churned
403,12856,8,6,2179.93,5,5,5,15,Champions
404,12857,211,2,1106.4,1,2,4,7,Big Spenders
405,12863,52,1,521.2,3,1,3,7,Others
406,12864,138,1,147.12,2,1,1,4,Churned
407,12865,26,2,1568.23,4,2,4,10,Big Spenders
408,12866,283,1,559.12,1,1,3,5,Others
409,12867,26,7,4036.82,4,5,5,14,Champions
410,12868,186,6,1607.06,1,5,4,10,Loyal Customers
411,12871,84,2,380.64,2,2,2,6,Churned
412,12872,327,2,599.97,1,2,3,6,Others
413,12873,282,1,374.0,1,1,2,4,Churned
414,12875,143,2,343.23,2,2,2,6,Churned
415,12876,58,2,2218.02,3,2,5,10,Big Spenders
416,12877,4,12,1535.77,5,5,4,14,Champions
417,12878,236,2,854.99,1,2,3,6,Others
418,12879,45,3,573.22,3,3,3,9,Others
419,12881,276,1,298.0,1,1,2,4,Churned
420,12882,9,2,1463.04,5,2,4,11,Big Spenders
421,12883,25,4,703.47,4,4,3,11,Loyal Customers
422,12884,88,1,309.05,2,1,2,5,Churned
423,12885,63,3,1175.22,3,3,4,10,Big Spenders
424,12886,68,2,1378.4,3,2,4,9,Big Spenders
425,12888,214,2,354.12,1,2,2,5,Churned
426,12890,24,1,380.47,4,1,2,7,Others
427,12891,186,3,331.0,1,3,2,6,At Risk
428,12893,31,1,188.14,4,1,1,6,Others
429,12895,42,2,372.8,3,2,2,7,Others
430,12897,205,2,216.5,1,2,1,4,Churned
431,12901,9,28,17654.54,5,5,5,15,Champions
432,12902,265,1,138.68,1,1,1,3,Churned
433,12904,18,2,509.58,4,2,3,9,Potential Loyalists
434,12906,12,5,2919.81,5,4,5,14,Champions
435,12908,176,2,750.0,2,2,3,7,Others
436,12909,40,5,2178.67,3,4,5,12,Loyal Customers
437,12910,23,8,3075.04,4,5,5,14,Champions
438,12912,3,5,1662.3,5,4,4,13,Champions
439,12913,5,5,2483.63,5,4,5,14,Champions
440,12915,149,2,363.65,2,2,2,6,Churned
441,12916,139,4,3006.15,2,4,5,11,Loyal Customers
442,12917,128,1,594.0,2,1,3,6,Others
443,12919,8,6,1335.19,5,5,4,14,Champions
444,12920,17,1,164.23,4,1,1,6,Others
445,12921,9,37,16587.09,5,5,5,15,Champions
446,12922,161,1,405.38,2,1,2,5,Churned
447,12923,64,1,176.97,3,1,1,5,Others
448,12924,88,4,933.7,2,4,3,9,Loyal Customers
449,12925,5,2,694.05,5,2,3,10,Potential Loyalists
450,12928,35,5,2062.7,3,4,5,12,Loyal Customers
451,12929,312,1,117.85,1,1,1,3,Churned
452,12930,78,2,415.8,2,2,2,6,Churned
453,12931,22,15,42055.96,4,5,5,14,Champions
454,12933,24,3,607.53,4,3,3,10,Potential Loyalists
455,12935,2,7,2160.7,5,5,5,15,Champions
456,12936,17,4,1063.9,4,4,4,12,Champions
457,12937,15,4,1504.27,4,4,4,12,Champions
458,12938,26,1,114.14,4,1,1,6,Others
459,12939,64,8,11581.8,3,5,5,13,Loyal Customers
460,12940,55,2,913.54,3,2,3,8,Others
461,12942,131,3,683.9,2,3,3,8,At Risk
462,12944,36,2,604.51,3,2,3,8,Others
463,12945,288,1,462.95,1,1,2,4,Churned
464,12947,144,6,1603.99,2,5,4,11,Loyal Customers
465,12948,16,7,2064.95,4,5,5,14,Champions
466,12949,31,8,4167.22,4,5,5,14,Champions
467,12950,2,3,1843.0,5,3,4,12,Big Spenders
468,12951,9,6,1064.07,5,5,4,14,Champions
469,12952,6,4,1387.79,5,4,4,13,Champions
470,12953,10,1,329.85,5,1,2,8,Others
471,12955,1,11,4757.16,5,5,5,15,Champions
472,12956,306,1,108.07,1,1,1,3,Churned
473,12957,10,8,4017.54,5,5,5,15,Champions
474,12962,7,2,266.39,5,2,2,9,Potential Loyalists
475,12963,8,8,1856.63,5,5,4,14,Champions
476,12965,89,1,771.91,2,1,3,6,Others
477,12966,10,1,160.18,5,1,1,7,Others
478,12967,358,2,1660.9,1,2,4,7,Big Spenders
479,12968,112,1,135.95,2,1,1,4,Churned
480,12970,7,4,452.24,5,4,2,11,Loyal Customers
481,12971,4,86,11189.91,5,5,5,15,Champions
482,12974,198,1,144.8,1,1,1,3,Churned
483,12976,212,1,738.6,1,1,3,5,Others
484,12977,156,1,39.24,2,1,1,4,Churned
485,12980,158,9,7374.9,2,5,5,12,Loyal Customers
486,12981,30,2,372.22,4,2,2,8,Potential Loyalists
487,12982,243,1,390.54,1,1,2,4,Churned
488,12984,19,1,97.5,4,1,1,6,Others
489,12985,1,2,1239.38,5,2,4,11,Big Spenders
490,12987,74,2,558.7,2,2,3,7,Others
491,12988,292,1,535.32,1,1,3,5,Others
492,12989,3,15,6924.11,5,5,5,15,Champions
493,12990,31,3,409.5,4,3,2,9,Potential Loyalists
494,12991,23,2,503.76,4,2,3,9,Potential Loyalists
495,12993,23,4,414.76,4,4,2,10,Loyal Customers
496,12994,4,3,974.42,5,3,4,12,Big Spenders
497,12995,85,1,211.32,2,1,1,4,Churned
498,12997,22,4,1226.89,4,4,4,12,Champions
499,12999,196,3,455.88,1,3,2,6,At Risk
500,13000,107,3,534.85,2,3,3,8,At Risk
501,13001,4,13,9818.82,5,5,5,15,Champions
502,13002,318,1,120.95,1,1,1,3,Churned
503,13003,106,3,149.05,2,3,1,6,At Risk
504,13004,12,18,5655.91,5,5,5,15,Champions
505,13005,174,2,513.7,2,2,3,7,Others
506,13006,56,1,81.57,3,1,1,5,Others
507,13008,323,1,229.47,1,1,1,3,Churned
508,13011,372,1,50.55,1,1,1,3,Churned
509,13012,9,8,1661.84,5,5,4,14,Champions
510,13013,1,13,4810.94,5,5,5,15,Champions
511,13014,11,10,3466.28,5,5,5,15,Champions
512,13015,53,5,3346.28,3,4,5,12,Loyal Customers
513,13016,73,3,789.89,2,3,3,8,At Risk
514,13017,7,1,204.0,5,1,1,7,Others
515,13018,16,28,7277.7,4,5,5,14,Champions
516,13021,4,9,2616.38,5,5,5,15,Champions
517,13023,64,2,689.9,3,2,3,8,Others
518,13026,1,5,975.36,5,4,4,13,Champions
519,13027,114,6,6912.0,2,5,5,12,Loyal Customers
520,13028,23,2,661.32,4,2,3,9,Potential Loyalists
521,13029,31,3,1247.5,4,3,4,11,Big Spenders
522,13030,11,2,799.48,5,2,3,10,Potential Loyalists
523,13032,52,2,1010.18,3,2,4,9,Big Spenders
